순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
11602,어선,4.95 ,11.80 ,3.20 ,0.80 ,FRP,어장관리선,어선(어장관리선),경남 남해군 미조면
11603,어선,4.95 ,11.80 ,3.20 ,0.80 ,FRP,어장관리선,어선(어장관리선),경남 남해군 미조면
11604,어선,2.99 ,9.72 ,2.50 ,0.69 ,FRP,제1종양식어업,어선(패류양식어업),경남 창원시 마산합포구 진동면
11605,어선,29.00 ,21.65 ,4.84 ,1.71 ,FRP,근해채낚기어업,어선(근해채낚기어업),강원 속초시
11606,어선,0.82 ,5.59 ,1.83 ,0.67 ,FRP,어장관리선,어선(어장관리선),전남 완도군 군외면
11607,어선,2.99 ,8.83 ,2.70 ,0.75 ,FRP,연안복합어업,어선(연안복합어업),경남 고성군 하일면
11608,어선,1.83 ,7.45 ,2.13 ,0.64 ,FRP,어선,어선(어선),경남 고성군 하일면
11609,어선,2.99 ,8.46 ,2.60 ,0.84 ,FRP,연안자망어업,어선(연안자망어업),전남 고흥군 두원면
11610,어선,2.99 ,8.46 ,2.60 ,0.84 ,FRP,연안자망어업,어선(연안자망어업),전남 고흥군 두원면
11611,어선,9.77 ,15.15 ,3.79 ,0.90 ,FRP,연안복합어업,어선(연안복합어업),충남 서천군 서면
11612,어선,1.12 ,6.03 ,2.06 ,0.71 ,FRP,어장관리선,어선(어장관리선),전남 완도군 노화읍
11613,어선,3.00 ,9.05 ,2.43 ,0.70 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 장기면
11614,어선,5.65 ,10.70 ,3.40 ,0.94 ,FRP,연안복합어업,어선(연안복합어업),서귀포시 안덕면
11615,어선,40.00 ,23.57 ,5.15 ,1.73 ,FRP,근해연승어업,어선(근해연승어업),서귀포시
11616,어선,7.93 ,16.17 ,4.00 ,0.83 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 소원면
11617,어선,6.41 ,11.38 ,3.30 ,0.95 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 소원면
11618,어선,1.36 ,6.98 ,2.03 ,0.81 ,FRP,정치성구획어업,어선(장망류어업),전남 완도군 약산면
11619,어선,2.50 ,7.24 ,2.40 ,0.89 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 남면
11620,어선,2.51 ,8.27 ,2.34 ,0.73 ,FRP,연안자망어업,어선(연안자망어업),경남 남해군 창선면
11621,어선,1.31 ,6.48 ,2.02 ,0.87 ,FRP,연안통발어업,어선(연안통발어업),울산시 울주군
11622,어선,2.41 ,9.20 ,2.42 ,0.70 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 진해구
11623,어선,3.67 ,9.98 ,3.15 ,0.70 ,FRP,정치성구획어업,어선(장망류어업),전남 진도군 지산면
11624,어선,1.82 ,6.44 ,2.40 ,0.76 ,FRP,연안자망어업,어선(연안자망어업),전남 무안군 현경면
11625,어선,4.95 ,11.00 ,3.50 ,0.84 ,FRP,연안자망어업,어선(연안자망어업),전남 무안군 현경면
